asset_provider,asset_id,currency
Stripe,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,EUR
PayPal,b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,USD
Internal,c3d4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,EUR
Wise,d4e5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,USD
Revolut,e5f6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,USD
Internal,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,USD
Stripe,a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,EUR
PayPal,b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,GBP
Internal,c9d0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,USD
Internal,d0e1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,EUR
Mercury,e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,USD
Brex,f2a3b4c5-d6e7-4f8a-9b0c-1d2e3f4a5b6c,USD
Internal,a3b4c5d6-e7f8-4a9b-0c1d-2e3f4a5b6c7d,GBP
Internal,b4c5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,USD
Stripe,c5d6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,CHF
PayPal,d6e7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,EUR
Internal,e7f8a9b0-c1d2-4e3f-4a5b-6c7d8e9f0a1b,USD
Wise,f8a9b0c1-d2e3-4f4a-5b6c-7d8e9f0a1b2c,USD
HSBC,a9b0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d,USD
Revolut,b0c1d2e3-f4a5-4b6c-7d8e-9f0a1b2c3d4e,EUR
Stripe,c1d2e3f4-a5b6-4c7d-8e9f-0a1b2c3d4e5f,CHF
PayPal,d2e3f4a5-b6c7-4d8e-9f0a-1b2c3d4e5f6a,CHF
Internal,e3f4a5b6-c7d8-4e9f-0a1b-2c3d4e5f6a7b,USD
UBS,f4a5b6c7-d8e9-4f0a-1b2c-3d4e5f6a7b8c,GBP
Internal,a5b6c7d8-e9f0-4a1b-2c3d-4e5f6a7b8c9d,EUR
